date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:05:53	135/135	---M-Z	200	added ('OK')	text/plain	date:Mon,%2028%20Aug%202023%2014:05:50%20GMT	https://jdstrata.com.au/robots.txt		(from )
00:05:54	137682/137682	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Aug%202023%2014:05:50%20GMT	https://jdstrata.com.au/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/index.html	(from )
00:05:55	1/1	---M-Z	400	error ('Bad%20Request')	text/html	date:Mon,%2028%20Aug%202023%2014:05:54%20GMT	https://jdstrata.com.au/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-admin/admin-ajax.php	(from https://jdstrata.com.au/)
00:05:56	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-58cec4254ba60%22	https://jdstrata.com.au/wp-content/uploads/2018/11/favicon.ico	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2018/11/favicon.ico	(from https://jdstrata.com.au/)
00:05:56	5955/5955	---M--	200	added ('OK')	image/png	etag:%221743-58cec4254ba4b%22	https://jdstrata.com.au/wp-content/uploads/2018/11/apple-touch-icon.png	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/uploads/2018/11/apple-touch-icon.png	(from https://jdstrata.com.au/)
00:05:56	272/272	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2014:05:56%20GMT	https://jdstrata.com.au/wp-content/themes/jupiter/assets/images	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/images	(from https://jdstrata.com.au/)
00:05:56	268/268	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Aug%202023%2014:05:56%20GMT	https://jdstrata.com.au/wp-content/themes/jupiter/assets/js	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/js	(from https://jdstrata.com.au/)
00:05:57	212/212	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Mon,%2028%20Aug%202023%2014:05:57%20GMT	https://jdstrata.com.au/wp-content/themes/jupiter	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter	(from https://jdstrata.com.au/)
00:05:57	733/733	---MC-	200	added ('OK')	application/rss+xml	etag:%22676a2328e90e9825724ea59490ad31ea%22	https://jdstrata.com.au/comments/feed/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/comments/feed/index.html	(from https://jdstrata.com.au/)
00:05:57	137/137	---M-Z	200	added ('OK')	text/html	etag:%2289-58cec4312cf67%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/images/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/images/index.html	(from https://jdstrata.com.au/)
00:05:57	1677/1677	---MC-	200	added ('OK')	application/rss+xml	etag:%22676a2328e90e9825724ea59490ad31ea%22	https://jdstrata.com.au/feed/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/feed/index.html	(from https://jdstrata.com.au/)
00:05:57	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5fbd506744f45%22	https://jdstrata.com.au/wp-includes/css/dist/block-library/style.min.css?ver=6.0.5	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-includes/css/dist/block-library/style.min52c7.css	(from https://jdstrata.com.au/)
00:05:57	2078/2078	---M-Z	200	added ('OK')	text/css	etag:%2281e-58cec425c2c97%22	https://jdstrata.com.au/wp-content/plugins/ultimate-form-builder/css/jquery.selectbox.css?ver=1.1.9	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/ultimate-form-builder/css/jquery.selectboxc5c9.css	(from https://jdstrata.com.au/)
00:05:57	29063/29063	---M-Z	200	added ('OK')	text/css	etag:%227187-58cec425c190f%22	https://jdstrata.com.au/wp-content/plugins/ultimate-form-builder/css/font-awesome.min.css?ver=1.1.9	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/ultimate-form-builder/css/font-awesome.minc5c9.css	(from https://jdstrata.com.au/)
00:05:58	35212/35212	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-898c%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css?ver=1.1.9	C:/My%20Web%20Sites/jdstrata/code.jquery.com/ui/1.11.4/themes/smoothness/jquery-uic5c9.css	(from https://jdstrata.com.au/)
00:05:58	195/195	---M-Z	403	error ('Forbidden')	text/html	etag:%22c3-58c7133e78dd3%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/js/	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/js/index.html	(from https://jdstrata.com.au/)
00:05:58	287083/287083	---M-Z	200	added ('OK')	text/css	etag:%224616b-58cec425c24d1%22	https://jdstrata.com.au/wp-content/plugins/ultimate-form-builder/css/frontend.css?ver=1.1.9	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/ultimate-form-builder/css/frontendc5c9.css	(from https://jdstrata.com.au/)
00:05:58	241/241	---M-Z	200	added ('OK')	text/css	etag:%22f1-58cec425c1cf4%22	https://jdstrata.com.au/wp-content/plugins/ultimate-form-builder/css/loading-animation.css?ver=6.0.5	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/ultimate-form-builder/css/loading-animation52c7.css	(from https://jdstrata.com.au/)
00:05:58	6154/6154	---M-Z	200	added ('OK')	text/css	etag:%22180a-58cec425c28c1%22	https://jdstrata.com.au/wp-content/plugins/ultimate-form-builder/css/fileuploader.css?ver=6.0.5	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/plugins/ultimate-form-builder/css/fileuploader52c7.css	(from https://jdstrata.com.au/)
00:05:59	540137/540137	---MCZ	200	added ('OK')	text/css	etag:%2283de9-58cec43101810%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/min/full-styles.6.1.6.css?ver=1562321248	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/min/full-styles.6.1.69076.css	(from https://jdstrata.com.au/)
00:05:59	1676/1676	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268c-58cec43106dfe%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/star/font.eot	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/star/font.eot	(from https://jdstrata.com.au/)
00:05:59	1676/1676	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2268c-58cec43106dfe%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/star/font.eot?	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/star/fontd41d.eot	(from https://jdstrata.com.au/)
00:05:59	1304/1304	---M--	200	added ('OK')	text/plain	etag:%22518-58cec431071dc%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/star/font.woff	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/star/font.woff	(from https://jdstrata.com.au/)
00:06:00	1512/1512	---M--	200	added ('OK')	text/plain	etag:%225e8-58cec43107dac%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/star/font.ttf	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/star/font.ttf	(from https://jdstrata.com.au/)
00:06:00	1391/1391	---M--	200	added ('OK')	image/svg+xml	etag:%2256f-58cec431075cb%22	https://jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/star/font.svg	C:/My%20Web%20Sites/jdstrata/jdstrata.com.au/wp-content/themes/jupiter/assets/stylesheet/fonts/star/font.svg	(from https://jdstrata.com.au/)
